Case ID,Date,Register Request,StartTime1,EndTime1,Resource1,Cost1,Check Date,StartTime2,EndTime2,Resource2,Cost2,Audit Mode ,StartTime3,EndTime3,Resource3,Cost3,Manual Review,StartTime4,EndTime4,Resource4,Cost4,Review the Reason,StartTime5,EndTime5,Resource5,Cost5,Check Ticket,StartTime6,EndTime6,Resource6,Cost6,Examine Casually,StartTime7,EndTime7,Resource7,Cost7,Examine Thoroughly,StartTime8,EndTime8,Resource8,Cost8,Decide,StartTime9,EndTime9,Resource9,Cost9,Accept,StartTime10,EndTime10,Resource10,Cost10,Reject,StartTime11,EndTime11,Resource11,Cost11,Reapply,StartTime12,EndTime12,Resource12,Cost12
13,2018/10/15,Flight cancellation,9:02:47,9:02:47,None,0,No,9:02:49,9:02:49,None,0,Normal review,9:02:51,9:02:51,None,0,None,0,0,None,0,Fake,9:02:54,9:03:57,Junior staff,1.458333333,Real,9:03:59,9:05:27,Junior staff,2.037037037,None,0,0,None,0,Fail,9:04:02,9:17:22,Intermediate staff,37.03703704,Reapply,9:17:27,9:20:44,Senior staff,18.24074074,0,0,0,None,0,0,0,0,None,0,1,9:20:46,9:21:56,Junior staff,1.62037037
14,2018/10/15,Flight cancellation,9:03:01,9:03:01,None,0,No,9:03:05,9:03:05,None,0,Normal review,9:03:10,9:03:10,None,0,None,0,0,None,0,Fake,9:04:56,9:06:35,Junior staff,2.291666667,Real,9:06:40,9:08:21,Junior staff,2.337962963,None,0,0,None,0,Pass,9:06:37,9:12:14,Intermediate staff,15.60185185,Accept,9:12:17,9:18:30,Senior staff,34.53703704,1,9:18:33,9:24:50,Intermediate staff,17.4537037,0,0,0,None,0,0,0,0,None,0
15,2018/10/15,Flight cancellation,9:03:02,9:03:02,None,0,No,9:03:03,9:03:03,None,0,Normal review,9:03:09,9:03:09,None,0,None,0,0,None,0,Real,9:03:13,9:03:58,Junior staff,1.041666667,Real,9:04:00,9:04:33,Junior staff,0.763888889,Pass,9:04:02,9:05:09,Junior staff,1.550925926,None,0,0,None,0,Accept,9:05:11,9:13:16,Senior staff,44.90740741,1,9:13:21,9:22:09,Intermediate staff,24.44444444,0,0,0,None,0,0,0,0,None,0
16,2018/10/15,Flight cancellation,9:03:43,9:03:43,None,0,No,9:03:48,9:03:48,None,0,Normal review,9:03:54,9:03:54,None,0,None,0,0,None,0,Real,9:03:57,9:05:06,Junior staff,1.597222222,Real,9:05:12,9:06:46,Junior staff,2.175925926,Pass,9:05:10,9:06:02,Junior staff,1.203703704,None,0,0,None,0,Accept,9:06:49,9:09:05,Senior staff,12.59259259,1,9:09:06,9:17:14,Intermediate staff,22.59259259,0,0,0,None,0,0,0,0,None,0
17,2018/10/15,Flight cancellation,9:03:45,9:03:45,None,0,No,9:03:46,9:03:46,None,0,Normal review,9:03:49,9:03:49,None,0,None,0,0,None,0,Real,9:03:53,9:04:40,Junior staff,1.087962963,Real,9:04:42,9:05:24,Junior staff,0.972222222,Pass,9:04:44,9:06:26,Junior staff,2.361111111,None,0,0,None,0,Accept,9:06:27,9:09:30,Senior staff,16.94444444,1,9:09:32,9:18:12,Intermediate staff,24.07407407,0,0,0,None,0,0,0,0,None,0
18,2018/10/15,Flight cancellation,9:03:55,9:03:55,None,0,No,9:03:57,9:03:57,None,0,Normal review,9:04:01,9:04:01,None,0,None,0,0,None,0,Fake,9:04:05,9:04:50,Junior staff,1.041666667,Real,9:04:53,9:06:52,Junior staff,2.75462963,None,0,0,None,0,Fail,9:04:51,9:16:01,Intermediate staff,31.01851852,Reject,9:16:05,9:23:33,Senior staff,41.48148148,0,0,0,None,0,1,9:23:37,9:24:24,Junior staff,1.087962963,0,0,0,None,0
19,2018/10/15,Flight cancellation,9:04:38,9:04:38,None,0,No,9:04:39,9:04:39,None,0,Normal review,9:04:44,9:04:44,None,0,None,0,0,None,0,Real,9:04:45,9:06:17,Junior staff,2.12962963,Real,9:06:19,9:07:57,Junior staff,2.268518519,Pass,9:06:23,9:08:05,Junior staff,2.361111111,None,0,0,None,0,Accept,9:08:09,9:12:51,Senior staff,26.11111111,1,9:12:56,9:20:41,Intermediate staff,21.52777778,0,0,0,None,0,0,0,0,None,0
20,2018/10/15,Flight cancellation,9:05:00,9:05:00,None,0,No,9:05:03,9:05:03,None,0,Manual review,9:05:06,9:05:06,None,0,Reapply,9:05:10,9:23:20,Senior staff,100.9259259,None,0,0,None,0,None,0,0,None,0,None,0,0,None,0,None,0,0,None,0,None,0,0,None,0,0,0,0,None,0,0,0,0,None,0,1,9:23:22,9:24:42,Junior staff,1.851851852
21,2018/10/15,Flight cancellation,9:05:16,9:05:16,None,0,No,9:05:22,9:05:22,None,0,Normal review,9:05:25,9:05:25,None,0,None,0,0,None,0,Real,9:05:26,9:06:25,Junior staff,1.365740741,Real,9:06:27,9:07:25,Junior staff,1.342592593,Pass,9:06:29,9:07:09,Junior staff,0.925925926,None,0,0,None,0,Accept,9:07:30,9:17:23,Senior staff,54.90740741,1,9:17:25,9:23:35,Intermediate staff,17.12962963,0,0,0,None,0,0,0,0,None,0
22,2018/10/15,Flight cancellation,9:05:53,9:05:53,None,0,No,9:05:56,9:05:56,None,0,Normal review,9:06:00,9:06:00,None,0,None,0,0,None,0,Real,9:06:03,9:07:27,Junior staff,1.944444444,Real,9:07:31,9:08:03,Junior staff,0.740740741,Pass,9:07:29,9:09:14,Junior staff,2.430555556,None,0,0,None,0,Accept,9:09:19,9:13:03,Senior staff,20.74074074,1,9:13:05,9:22:23,Intermediate staff,25.83333333,0,0,0,None,0,0,0,0,None,0
23,2018/10/15,Flight delay,9:06:00,9:06:00,None,0,No,9:06:03,9:06:03,None,0,Normal review,9:06:07,9:06:07,None,0,None,0,0,None,0,Real,9:06:13,9:07:14,Junior staff,1.412037037,Real,9:07:18,9:08:05,Junior staff,1.087962963,Pass,9:07:18,9:08:51,Junior staff,2.152777778,None,0,0,None,0,Accept,9:08:57,9:14:38,Senior staff,31.57407407,1,9:14:41,9:21:11,Intermediate staff,18.05555556,0,0,0,None,0,0,0,0,None,0
24,2018/10/15,Flight cancellation,9:06:08,9:06:08,None,0,No,9:06:12,9:06:12,None,0,Normal review,9:06:16,9:06:16,None,0,None,0,0,None,0,Real,9:06:22,9:07:38,Junior staff,1.759259259,Real,9:07:44,9:08:50,Junior staff,1.527777778,Pass,9:07:43,9:09:06,Junior staff,1.921296296,None,0,0,None,0,Accept,9:09:08,9:15:13,Senior staff,33.7962963,1,9:15:16,9:23:41,Intermediate staff,23.37962963,0,0,0,None,0,0,0,0,None,0
25,2018/10/15,Flight cancellation,9:06:36,9:06:36,None,0,No,9:06:42,9:06:42,None,0,Normal review,9:06:45,9:06:45,None,0,None,0,0,None,0,Real,9:06:49,9:07:24,Junior staff,0.810185185,Real,9:07:27,9:09:22,Junior staff,2.662037037,Pass,9:07:27,9:09:17,Junior staff,2.546296296,None,0,0,None,0,Accept,9:09:26,9:18:07,Senior staff,48.24074074,1,9:18:09,9:26:59,Intermediate staff,24.53703704,0,0,0,None,0,0,0,0,None,0
26,2018/10/15,Flight cancellation,9:06:47,9:06:47,None,0,No,9:06:51,9:06:51,None,0,Normal review,9:06:56,9:06:56,None,0,None,0,0,None,0,Real,9:06:59,9:08:00,Junior staff,1.412037037,Real,9:08:04,9:08:49,Junior staff,1.041666667,Pass,9:08:04,9:08:51,Junior staff,1.087962963,None,0,0,None,0,Accept,9:08:54,9:11:55,Senior staff,16.75925926,1,9:12:00,9:18:44,Intermediate staff,18.7037037,0,0,0,None,0,0,0,0,None,0
27,2018/10/15,Flight cancellation,9:07:07,9:07:07,None,0,No,9:07:13,9:07:13,None,0,Normal review,9:07:19,9:07:19,None,0,None,0,0,None,0,Real,9:07:25,9:08:11,Junior staff,1.064814815,Real,9:08:13,9:09:41,Junior staff,2.037037037,Pass,9:08:15,9:08:52,Junior staff,0.856481481,None,0,0,None,0,Accept,9:09:47,9:11:58,Senior staff,12.12962963,1,9:12:01,9:18:45,Intermediate staff,18.7037037,0,0,0,None,0,0,0,0,None,0
28,2018/10/15,Flight cancellation,9:07:08,9:07:08,None,0,No,9:07:13,9:07:13,None,0,Normal review,9:07:16,9:07:16,None,0,None,0,0,None,0,Real,9:07:18,9:09:09,Junior staff,2.569444444,Real,9:09:14,9:10:03,Junior staff,1.134259259,Pass,9:09:13,9:10:24,Junior staff,1.643518519,None,0,0,None,0,Accept,9:10:29,9:16:04,Senior staff,31.01851852,1,9:16:07,9:21:27,Intermediate staff,14.81481481,0,0,0,None,0,0,0,0,None,0
29,2018/10/15,Flight cancellation,9:08:07,9:08:07,None,0,No,9:08:09,9:08:09,None,0,Normal review,9:08:12,9:08:12,None,0,None,0,0,None,0,Fake,9:08:15,9:10:09,Junior staff,2.638888889,Real,9:10:14,9:10:56,Junior staff,0.972222222,None,0,0,None,0,Fail,9:10:11,9:22:15,Intermediate staff,33.51851852,Reject,9:22:18,9:24:46,Senior staff,13.7037037,0,0,0,None,0,1,9:24:50,9:25:23,Junior staff,0.763888889,0,0,0,None,0
30,2018/10/15,Flight cancellation,9:08:21,9:08:21,None,0,No,9:08:23,9:08:23,None,0,Normal review,9:08:28,9:08:28,None,0,None,0,0,None,0,Real,9:08:32,9:09:10,Junior staff,0.87962963,Real,9:09:14,9:11:12,Junior staff,2.731481481,Pass,9:09:15,9:10:54,Junior staff,2.291666667,None,0,0,None,0,Accept,9:11:15,9:18:27,Senior staff,40,1,9:18:29,9:23:53,Intermediate staff,15,0,0,0,None,0,0,0,0,None,0
31,2018/10/15,Flight delay,9:09:41,9:09:41,None,0,No,9:09:43,9:09:43,None,0,Normal review,9:09:47,9:09:47,None,0,None,0,0,None,0,Real,9:09:51,9:10:28,Junior staff,0.856481481,Real,9:10:32,9:12:21,Junior staff,2.523148148,Pass,9:10:29,9:11:54,Junior staff,1.967592593,None,0,0,None,0,Accept,9:12:26,9:17:25,Senior staff,27.68518519,1,9:17:28,9:23:00,Intermediate staff,15.37037037,0,0,0,None,0,0,0,0,None,0
32,2018/10/15,Flight cancellation,9:09:59,9:09:59,None,0,No,9:10:00,9:10:00,None,0,Normal review,9:10:04,9:10:04,None,0,None,0,0,None,0,Real,9:10:09,9:11:46,Junior staff,2.24537037,Real,9:11:50,9:13:01,Junior staff,1.643518519,Pass,9:11:49,9:12:21,Junior staff,0.740740741,None,0,0,None,0,Accept,9:13:03,9:21:33,Senior staff,47.22222222,1,9:21:35,9:31:05,Intermediate staff,26.38888889,0,0,0,None,0,0,0,0,None,0
33,2018/10/15,Flight cancellation,9:10:57,9:10:57,None,0,No,9:11:02,9:11:02,None,0,Normal review,9:11:04,9:11:04,None,0,None,0,0,None,0,Fake,9:11:07,9:12:51,Junior staff,2.407407407,Real,9:12:53,9:14:06,Junior staff,1.689814815,None,0,0,None,0,Fail,9:12:56,9:25:53,Intermediate staff,35.97222222,Reject,9:25:55,9:30:20,Senior staff,24.53703704,0,0,0,None,0,1,9:30:25,9:31:42,Junior staff,1.782407407,0,0,0,None,0
34,2018/10/15,Flight cancellation,9:11:35,9:11:35,None,0,No,9:11:37,9:11:37,None,0,Normal review,9:11:40,9:11:40,None,0,None,0,0,None,0,Real,9:11:41,9:12:59,Junior staff,1.805555556,Real,9:13:02,9:14:53,Junior staff,2.569444444,Pass,9:13:00,9:14:46,Junior staff,2.453703704,None,0,0,None,0,Accept,9:14:57,9:21:10,Senior staff,34.53703704,1,9:21:15,9:26:40,Intermediate staff,15.0462963,0,0,0,None,0,0,0,0,None,0
35,2018/10/15,Flight cancellation,9:11:50,9:11:50,None,0,No,9:11:55,9:11:55,None,0,Normal review,9:11:58,9:11:58,None,0,None,0,0,None,0,Real,9:12:00,9:13:11,Junior staff,1.643518519,Real,9:13:15,9:13:52,Junior staff,0.856481481,Pass,9:13:12,9:14:43,Junior staff,2.106481481,None,0,0,None,0,Accept,9:14:46,9:16:53,Senior staff,11.75925926,1,9:16:57,9:26:43,Intermediate staff,27.12962963,0,0,0,None,0,0,0,0,None,0
36,2018/10/15,Flight cancellation,9:12:04,9:12:04,None,0,No,9:12:09,9:12:09,None,0,Manual review,9:12:14,9:12:14,None,0,Reapply,9:12:19,9:41:29,Senior staff,162.037037,None,0,0,None,0,None,0,0,None,0,None,0,0,None,0,None,0,0,None,0,None,0,0,None,0,0,0,0,None,0,0,0,0,None,0,1,9:41:33,9:43:23,Junior staff,2.546296296
37,2018/10/15,Flight cancellation,9:12:09,9:12:09,None,0,No,9:12:14,9:12:14,None,0,Normal review,9:12:20,9:12:20,None,0,None,0,0,None,0,Real,9:12:23,9:14:10,Junior staff,2.476851852,Real,9:14:12,9:15:41,Junior staff,2.060185185,Fail,9:14:11,9:15:16,Junior staff,1.50462963,None,0,0,None,0,Reject,9:15:43,9:17:57,Senior staff,12.40740741,0,0,0,None,0,1,9:17:59,9:19:10,Junior staff,1.643518519,0,0,0,None,0
38,2018/10/15,Flight cancellation,9:12:29,9:12:29,None,0,No,9:12:34,9:12:34,None,0,Manual review,9:12:37,9:12:37,None,0,Reapply,9:12:41,9:29:38,Senior staff,94.16666667,None,0,0,None,0,None,0,0,None,0,None,0,0,None,0,None,0,0,None,0,None,0,0,None,0,0,0,0,None,0,0,0,0,None,0,1,9:29:43,9:31:26,Junior staff,2.384259259
39,2018/10/15,Flight cancellation,9:12:39,9:12:39,None,0,No,9:12:43,9:12:43,None,0,Normal review,9:12:47,9:12:47,None,0,None,0,0,None,0,Real,9:12:50,9:14:39,Junior staff,2.523148148,Real,9:14:43,9:16:27,Junior staff,2.407407407,Pass,9:14:41,9:15:54,Junior staff,1.689814815,None,0,0,None,0,Accept,9:16:30,9:22:49,Senior staff,35.09259259,1,9:22:54,9:32:01,Intermediate staff,25.32407407,0,0,0,None,0,0,0,0,None,0
40,2018/10/15,Flight cancellation,9:12:43,9:12:43,None,0,No,9:12:49,9:12:49,None,0,Normal review,9:12:55,9:12:55,None,0,None,0,0,None,0,Real,9:12:58,9:14:14,Junior staff,1.759259259,Real,9:14:16,9:15:14,Junior staff,1.342592593,Pass,9:14:16,9:15:06,Junior staff,1.157407407,None,0,0,None,0,Accept,9:15:15,9:24:09,Senior staff,49.44444444,1,9:24:10,9:33:00,Intermediate staff,24.53703704,0,0,0,None,0,0,0,0,None,0
41,2018/10/15,Flight cancellation,9:13:01,9:13:01,None,0,No,9:13:05,9:13:05,None,0,Normal review,9:13:10,9:13:10,None,0,None,0,0,None,0,Real,9:13:13,9:14:37,Junior staff,1.944444444,Real,9:14:40,9:16:18,Junior staff,2.268518519,Pass,9:14:38,9:16:30,Junior staff,2.592592593,None,0,0,None,0,Accept,9:16:35,9:22:25,Senior staff,32.40740741,1,9:22:29,9:27:49,Intermediate staff,14.81481481,0,0,0,None,0,0,0,0,None,0
42,2018/10/15,Flight delay,9:13:07,9:13:07,None,0,No,9:13:10,9:13:10,None,0,Normal review,9:13:13,9:13:13,None,0,None,0,0,None,0,Real,9:13:14,9:14:45,Junior staff,2.106481481,Real,9:14:49,9:16:01,Junior staff,1.666666667,Pass,9:14:47,9:16:15,Junior staff,2.037037037,None,0,0,None,0,Accept,9:16:17,9:26:13,Senior staff,55.18518519,1,9:26:17,9:33:55,Intermediate staff,21.2037037,0,0,0,None,0,0,0,0,None,0
43,2018/10/15,Flight cancellation,9:13:40,9:13:40,None,0,No,9:13:46,9:13:46,None,0,Normal review,9:13:50,9:13:50,None,0,None,0,0,None,0,Fake,9:14:41,9:16:11,Junior staff,2.083333333,Real,9:16:15,9:17:30,Junior staff,1.736111111,None,0,0,None,0,Pass,9:16:16,9:23:51,Intermediate staff,21.06481481,Accept,9:23:55,9:26:37,Senior staff,15,1,9:26:40,9:35:03,Intermediate staff,23.28703704,0,0,0,None,0,0,0,0,None,0
44,2018/10/15,Flight delay,9:14:39,9:14:39,None,0,No,9:14:45,9:14:45,None,0,Normal review,9:14:51,9:14:51,None,0,None,0,0,None,0,Real,9:14:55,9:16:18,Junior staff,1.921296296,Real,9:16:20,9:17:30,Junior staff,1.62037037,Pass,9:16:20,9:18:00,Junior staff,2.314814815,None,0,0,None,0,Accept,9:18:03,9:23:07,Senior staff,28.14814815,1,9:23:10,9:30:34,Intermediate staff,20.55555556,0,0,0,None,0,0,0,0,None,0
45,2018/10/15,Flight cancellation,9:14:43,9:14:43,None,0,No,9:14:46,9:14:46,None,0,Normal review,9:14:50,9:14:50,None,0,None,0,0,None,0,Real,9:14:51,9:15:47,Junior staff,1.296296296,Real,9:15:51,9:16:57,Junior staff,1.527777778,Pass,9:15:48,9:17:03,Junior staff,1.736111111,None,0,0,None,0,Accept,9:17:06,9:25:14,Senior staff,45.18518519,1,9:25:16,9:30:48,Intermediate staff,15.37037037,0,0,0,None,0,0,0,0,None,0
46,2018/10/15,Flight cancellation,9:14:46,9:14:46,None,0,No,9:14:52,9:14:52,None,0,Normal review,9:14:55,9:14:55,None,0,None,0,0,None,0,Real,9:14:58,9:15:32,Junior staff,0.787037037,Real,9:15:37,9:17:05,Junior staff,2.037037037,Pass,9:15:34,9:16:54,Junior staff,1.851851852,None,0,0,None,0,Accept,9:17:09,9:26:06,Senior staff,49.72222222,1,9:26:12,9:31:25,Intermediate staff,14.49074074,0,0,0,None,0,0,0,0,None,0
47,2018/10/15,Flight cancellation,9:14:48,9:14:48,None,0,No,9:14:53,9:14:53,None,0,Normal review,9:14:58,9:14:58,None,0,None,0,0,None,0,Real,9:15:01,9:16:09,Junior staff,1.574074074,Real,9:16:10,9:17:12,Junior staff,1.435185185,Pass,9:16:14,9:16:48,Junior staff,0.787037037,None,0,0,None,0,Accept,9:17:14,9:25:53,Senior staff,48.05555556,1,9:25:57,9:34:17,Intermediate staff,23.14814815,0,0,0,None,0,0,0,0,None,0
48,2018/10/15,Flight cancellation,9:14:58,9:14:58,None,0,No,9:15:02,9:15:02,None,0,Normal review,9:15:03,9:15:03,None,0,None,0,0,None,0,Real,9:15:05,9:16:04,Junior staff,1.365740741,Real,9:16:07,9:17:23,Junior staff,1.759259259,Pass,9:16:07,9:17:59,Junior staff,2.592592593,None,0,0,None,0,Accept,9:18:01,9:26:14,Senior staff,45.64814815,1,9:26:20,9:31:25,Intermediate staff,14.12037037,0,0,0,None,0,0,0,0,None,0
49,2018/10/15,Flight cancellation,9:15:01,9:15:01,None,0,No,9:15:04,9:15:04,None,0,Normal review,9:15:08,9:15:08,None,0,None,0,0,None,0,Real,9:15:13,9:16:35,Junior staff,1.898148148,Real,9:16:38,9:18:10,Junior staff,2.12962963,Pass,9:16:38,9:18:11,Junior staff,2.152777778,None,0,0,None,0,Accept,9:18:14,9:24:19,Senior staff,33.7962963,1,9:24:22,9:31:20,Intermediate staff,19.35185185,0,0,0,None,0,0,0,0,None,0
50,2018/10/15,Flight delay,9:15:35,9:15:35,None,0,No,9:15:36,9:15:36,None,0,Normal review,9:15:42,9:15:42,None,0,None,0,0,None,0,Real,9:15:46,9:17:30,Junior staff,2.407407407,Real,9:17:34,9:19:14,Junior staff,2.314814815,Pass,9:17:32,9:19:00,Junior staff,2.037037037,None,0,0,None,0,Accept,9:19:16,9:25:21,Senior staff,33.7962963,1,9:25:24,9:32:59,Intermediate staff,21.06481481,0,0,0,None,0,0,0,0,None,0
51,2018/10/15,Flight cancellation,9:15:58,9:15:58,None,0,No,9:16:00,9:16:00,None,0,Normal review,9:16:05,9:16:05,None,0,None,0,0,None,0,Fake,9:16:08,9:17:53,Junior staff,2.430555556,Real,9:17:55,9:19:31,Junior staff,2.222222222,None,0,0,None,0,Fail,9:17:58,9:24:29,Intermediate staff,18.10185185,Reject,9:24:31,9:30:14,Senior staff,31.75925926,0,0,0,None,0,1,9:30:17,9:31:09,Junior staff,1.203703704,0,0,0,None,0
52,2018/10/15,Flight cancellation,9:16:15,9:16:15,None,0,No,9:16:20,9:16:20,None,0,Normal review,9:16:25,9:16:25,None,0,None,0,0,None,0,Real,9:16:28,9:16:59,Junior staff,0.717592593,Real,9:17:03,9:17:42,Junior staff,0.902777778,Pass,9:17:03,9:17:30,Junior staff,0.625,None,0,0,None,0,Accept,9:17:47,9:20:40,Senior staff,16.01851852,1,9:20:44,9:30:26,Intermediate staff,26.94444444,0,0,0,None,0,0,0,0,None,0
53,2018/10/15,Flight cancellation,9:16:45,9:16:45,None,0,No,9:16:51,9:16:51,None,0,Normal review,9:16:54,9:16:54,None,0,None,0,0,None,0,Real,9:16:56,9:18:03,Junior staff,1.550925926,Real,9:18:04,9:19:11,Junior staff,1.550925926,Pass,9:18:04,9:19:12,Junior staff,1.574074074,None,0,0,None,0,Accept,9:19:14,9:24:53,Senior staff,31.38888889,1,9:24:54,9:29:55,Intermediate staff,13.93518519,0,0,0,None,0,0,0,0,None,0
54,2018/10/15,Flight cancellation,9:17:08,9:17:08,None,0,No,9:17:11,9:17:11,None,0,Normal review,9:17:13,9:17:13,None,0,None,0,0,None,0,Real,9:17:15,9:19:07,Junior staff,2.592592593,Real,9:19:12,9:20:11,Junior staff,1.365740741,Pass,9:19:09,9:20:31,Junior staff,1.898148148,None,0,0,None,0,Accept,9:20:34,9:26:25,Senior staff,32.5,1,9:26:28,9:31:46,Intermediate staff,14.72222222,0,0,0,None,0,0,0,0,None,0
